"LeftPosition","RightPosition","LeftVelocity","RightVelocity","Heading"
"0.003731","0.003731","0.746269","0.746269","0"
"0.005442","0.005442","0.171106","0.171106","0.000140000000000029"
"0.008295","0.008295","0.285283","0.285283","0.000372000000000483"
"0.012291","0.012291","0.399620","0.399620","0.000699000000000893"
"0.030723","0.020438","1.843194","0.814630","0.00111830717958661"
"0.078065","0.055192","4.734138","3.475450","0.00163230717958651"
"0.134021","0.096250","5.595647","4.105736","0.00224030717958623"
"0.198595","0.143601","6.457393","4.735105","0.0029433071795868"
"0.271818","0.197256","7.322298","5.365527","0.00374230717958657"
"0.353677","0.257192","8.185928","5.993574","0.00463730717958644"
"0.444185","0.323401","9.050782","6.620899","0.0056283071795864"
"0.543352","0.395873","9.916716","7.247217","0.00671830717958688"
"0.651188","0.474595","10.783590","7.872241","0.00790630717958685"
"0.767717","0.559564","11.652870","8.496852","0.00919430717958658"
"0.892946","0.650760","12.522936","9.119673","0.0105833071795862"
"1.026873","0.748157","13.392665","9.739695","0.0120743071795868"
"1.169552","0.851767","14.267865","10.360939","0.0136693071795868"
"1.320962","0.961544","15.141028","10.977741","0.0153683071795863"
"1.481135","1.077480","16.017274","11.593611","0.0171743071795865"
"1.650103","1.199565","16.896871","12.208517","0.0190883071795867"
"1.827874","1.327768","17.777023","12.820214","0.0211113071795861"
"2.014469","1.462065","18.659543","13.429783","0.0232453071795868"
"2.209912","1.602434","19.544302","14.036891","0.0254933071795866"
"2.414242","1.748860","20.433037","14.642538","0.0278573071795867"
"2.627474","1.901306","21.323174","15.244621","0.0303383071795862"
"2.849623","2.059736","22.214837","15.842975","0.0329393071795865"
"3.080754","2.224145","23.113124","16.440960","0.0356623071795861"
"3.320863","2.394478","24.010926","17.033227","0.0385103071795863"
"3.569995","2.570708","24.913179","17.623003","0.0414863071795866"
"3.828198","2.752811","25.820358","18.210310","0.0445923071795864"
"4.095495","2.940739","26.729655","18.792849","0.0478313071795862"
"4.371924","3.134455","27.642895","19.371586","0.0512073071795864"
"4.657530","3.333921","28.560633","19.946569","0.0547233071795867"
"4.952364","3.539099","29.483392","20.517807","0.0583833071795867"
"5.256452","3.749932","30.408792","21.083280","0.0621893071795867"
"5.569855","3.966381","31.340252","21.644983","0.0661463071795865"
"5.892611","4.188392","32.275614","22.201031","0.0702583071795866"
"6.224791","4.415923","33.218015","22.753167","0.0745303071795869"
"6.566432","4.648910","34.164117","23.298674","0.0789653071795868"
"6.917596","4.887298","35.116363","23.838787","0.0835683071795863"
"7.278342","5.131028","36.074677","24.372992","0.0883443071795869"
"7.648732","5.380036","37.038989","24.900764","0.0932983071795865"
"8.028832","5.634256","38.009941","25.422042","0.0984363071795862"
"8.418723","5.893630","38.989143","25.937382","0.103763307179586"
"8.818452","6.158067","39.972857","26.443768","0.109286307179587"
"9.228118","6.427511","40.966636","26.944332","0.115009307179586"
"9.647789","6.701873","41.967090","27.436261","0.120940307179587"
"10.077545","6.981072","42.975577","27.919865","0.127085307179587"
"10.517473","7.265022","43.992830","28.395016","0.133452307179587"
"10.967661","7.553633","45.018811","28.861067","0.140047307179587"
"11.428207","7.846814","46.054628","29.318086","0.146878307179587"
"11.899214","8.144470","47.100652","29.765645","0.153953307179586"
"12.380768","8.446491","48.155377","30.202125","0.161281307179586"
"12.872981","8.752776","49.221352","30.628456","0.168870307179587"
"13.375974","9.063220","50.299291","31.044372","0.176729307179587"
"13.889848","9.377700","51.387413","31.448071","0.184868307179586"
"14.414722","9.696099","52.487392","31.839889","0.193295307179587"
"14.950737","10.018304","53.601458","32.220461","0.202022307179586"
"15.497997","10.344173","54.725971","32.586896","0.211059307179586"
"16.056647","10.673582","55.865010","32.940955","0.220416307179587"
"16.626813","11.006390","57.016605","33.280801","0.230104307179587"
"17.208643","11.342462","58.183060","33.607145","0.240135307179586"
"17.802285","11.681655","59.364203","33.919267","0.250520307179587"
"18.407884","12.023820","60.559839","34.216499","0.261273307179587"
"19.025581","12.368802","61.769749","34.498233","0.272404307179587"
"19.655537","12.716452","62.995613","34.764993","0.283927307179587"
"20.297900","13.066610","64.236290","35.015819","0.295854307179587"
"20.947982","13.416529","65.008201","34.991890","0.308105307179586"
"21.600976","13.763531","65.299379","34.700249","0.320595307179587"
"22.256905","14.107597","65.592862","34.406522","0.333324307179587"
"22.915786","14.448708","65.888118","34.111151","0.346294307179586"
"23.577632","14.786854","66.184571","33.814628","0.359507307179586"
"24.242448","15.122029","66.481604","33.517501","0.372962307179587"
"24.910233","15.454233","66.778555","33.220373","0.386659307179587"
"25.580980","15.783472","67.074722","32.923900","0.400598307179586"
"26.254683","16.109765","67.370267","32.629233","0.414778307179587"
"26.931313","16.433129","67.663042","32.336469","0.429197307179587"
"27.610837","16.753594","67.952366","32.046505","0.443853307179586"
"28.293217","17.071199","68.238020","31.760518","0.458742307179587"
"28.978416","17.385997","68.519877","31.479764","0.473860307179587"
"29.666360","17.698037","68.794429","31.204013","0.489204307179587"
"30.356998","18.007394","69.063741","30.935635","0.504766307179587"
"31.050239","18.314138","69.324111","30.674421","0.520542307179586"
"31.746007","18.618362","69.576828","30.422434","0.536523307179587"
"32.444192","18.920159","69.818515","30.179690","0.552703307179587"
"33.144702","19.219644","70.050958","29.948465","0.569071307179587"
"33.847404","19.516929","70.270161","29.728529","0.585619307179586"
"34.552172","19.812146","70.476827","29.521657","0.602336307179587"
"35.258873","20.105435","70.670166","29.328932","0.619210307179586"
"35.967353","20.396943","70.847934","29.150789","0.636229307179587"
"36.677453","20.686828","71.010020","28.988487","0.653381307179586"
"37.389010","20.975257","71.155739","28.842955","0.670652307179586"
"38.101850","21.262406","71.283975","28.714850","0.688027307179587"
"38.815789","21.548454","71.393859","28.604823","0.705492307179586"
"39.530639","21.833590","71.485014","28.513593","0.723032307179587"
"40.246208","22.118007","71.556904","28.441679","0.740630307179586"
"40.962299","22.401902","71.609125","28.389503","0.758271307179586"
"41.678712","22.685475","71.641320","28.357353","0.775938307179587"
"42.395245","22.968929","71.653234","28.345392","0.793615307179587"
"43.111694","23.252466","71.644888","28.353726","0.811285307179586"
"43.827857","23.536289","71.616330","28.382307","0.828932307179587"
"44.543534","23.820599","71.567733","28.430967","0.846539307179587"
"45.258527","24.105593","71.499323","28.499396","0.864090307179587"
"45.972641","24.391465","71.411386","28.587152","0.881570307179587"
"46.685689","24.678403","71.304738","28.693853","0.898962307179587"
"47.397487","24.966592","71.179870","28.818848","0.916253307179587"
"48.107862","25.256206","71.037494","28.961451","0.933427307179587"
"48.816641","25.547413","70.877900","29.120681","0.950471307179587"
"49.523667","25.840373","70.702599","29.295960","0.967372307179587"
"50.228793","26.135237","70.512557","29.486406","0.984117307179586"
"50.931874","26.432144","70.308073","29.690784","1.00069630717959"
"51.632777","26.731226","70.090344","29.908176","1.01709730717959"
"52.331391","27.032606","69.861392","30.137987","1.03331130717959"
"53.027592","27.336388","69.620095","30.378245","1.04932830717959"
"53.721294","27.642679","69.370215","30.629081","1.06514130717959"
"54.412396","27.951562","69.110196","30.888310","1.08074230717959"
"55.100832","28.263123","68.843610","31.156033","1.09612530717959"
"55.786516","28.577421","68.568405","31.429853","1.11128330717959"
"56.469406","28.894525","68.288975","31.710337","1.12621330717959"
"57.149445","29.214479","68.003888","31.995445","1.14091130717959"
"57.826587","29.537322","67.714202","32.284313","1.15537230717959"
"58.500810","29.863090","67.422281","32.576779","1.16959530717959"
"59.172088","30.191805","67.127883","32.871513","1.18357730717959"
"59.840406","30.523482","66.831802","33.167737","1.19731830717959"
"60.505754","30.858130","66.534790","33.464730","1.21081630717959"
"61.168130","31.195748","66.237558","33.761823","1.22407130717959"
"61.827538","31.536332","65.940777","34.058403","1.23708530717959"
"62.483988","31.879871","65.645071","34.353915","1.24985730717959"
"63.137499","32.226350","65.351026","34.647854","1.26238930717959"
"63.788090","32.575747","65.059182","34.939773","1.27468230717959"
"64.435791","32.928040","64.770040","35.229271","1.28674030717959"
"65.080631","33.283200","64.484060","35.516001","1.29856430717959"
"65.722635","33.641189","64.200307","35.798901","1.31015630717959"
"66.361839","34.001973","63.920465","36.078414","1.32152030717959"
"66.998298","34.365522","63.645879","36.354897","1.33266030717959"
"67.632023","34.731779","63.372468","36.625647","1.34357730717959"
"68.263090","35.100720","63.106753","36.894099","1.35427630717959"
"68.891511","35.472281","62.842037","37.156095","1.36476030717959"
"69.517360","35.846433","62.584897","37.415271","1.37503330717959"
"70.140668","36.223121","62.330851","37.668799","1.38509930717959"
"70.761482","36.602296","62.081400","37.917415","1.39496230717959"
"71.379861","36.983914","61.837870","38.161827","1.40462630717959"
"71.995851","37.367926","61.598984","38.401186","1.41409530717959"
"72.609499","37.754281","61.364820","38.635489","1.42337230717959"
"73.220850","38.142926","61.135081","38.864520","1.43246230717959"
"73.829956","38.533814","60.910626","39.088825","1.44136930717959"
"74.436870","38.926898","60.691366","39.308383","1.45009730717959"
"75.041640","39.322128","60.477021","39.523060","1.45864930717959"
"75.644307","39.719452","60.266699","39.732332","1.46703130717959"
"76.244925","40.118824","60.061803","39.937196","1.47524530717959"
"76.843543","40.520198","59.861859","40.137439","1.48329630717959"
"77.440212","40.923530","59.666849","40.333158","1.49118730717959"
"78.034979","41.328774","59.476759","40.524464","1.49892330717959"
"78.627866","41.735869","59.288671","40.709476","1.50650630717959"
"79.218945","42.144789","59.107887","40.891954","1.51394130717959"
"79.808254","42.555485","58.930870","41.069622","1.52123130717959"
"80.395821","42.967905","58.756762","41.242005","1.52838030717959"
"80.981713","43.382023","58.589178","41.411786","1.53539130717959"
"81.565944","43.797779","58.423103","41.575582","1.54226830717959"
"82.148577","44.215148","58.263279","41.736904","1.54901430717959"
"82.729643","44.634085","58.106585","41.893690","1.55563130717959"
"83.309171","45.054544","57.952830","42.045944","1.56212430717959"
"83.887217","45.476501","57.804616","42.195711","1.56849530717959"
"84.371806","45.831927","48.458908","35.542567","1.57376730717959"
"84.949570","46.254176","57.776409","42.224957","1.58011430717959"
"85.528811","46.674936","57.924019","42.076003","1.58658330717959"
"86.109561","47.094167","58.075039","41.923059","1.59317530717959"
"86.691891","47.511852","58.232995","41.768497","1.59989630717959"
"87.275806","47.927928","58.391494","41.607564","1.60674630717959"
"87.861368","48.342369","58.556182","41.444153","1.61373130717959"
"88.448603","48.755125","58.723539","41.275604","1.62085230717959"
"89.037570","49.166164","58.896645","41.103938","1.62811530717959"
"89.628287","49.575428","59.071742","40.926383","1.63552130717959"
"90.220832","49.982895","59.254462","40.746702","1.64307530717959"
"90.815222","50.388503","59.439080","40.560798","1.65078130717959"
"91.411506","50.792208","59.628364","40.370460","1.65864130717959"
"92.009738","51.193970","59.823228","40.176173","1.66666030717959"
"92.609969","51.593744","60.023087","39.977411","1.67484230717959"
"93.212237","51.991476","60.226742","39.773274","1.68319130717959"
"93.816590","52.387121","60.435338","39.564436","1.69170930717959"
"94.423079","52.780629","60.648867","39.350806","1.70040230717959"
"95.031752","53.171952","60.867313","39.132306","1.70927430717959"
"95.642658","53.561041","61.090649","38.908870","1.71832830717959"
"96.255847","53.947845","61.318838","38.680445","1.72756830717959"
"96.871365","54.332315","61.551832","38.446993","1.73699930717959"
"97.489273","54.714407","61.790782","38.209243","1.74662430717959"
"98.109614","55.094070","62.034079","37.966227","1.75644730717959"
"98.732428","55.471248","62.281403","37.717836","1.76647330717959"
"99.357767","55.845897","62.533964","37.464915","1.77670630717959"
"99.985692","56.217977","62.792482","37.208011","1.78714830717959"
"100.616223","56.587427","63.053078","36.945004","1.79780530717959"
"101.249437","56.954222","63.321425","36.679442","1.80867930717959"
"101.885344","57.318298","63.590734","36.407629","1.81977430717959"
"102.524014","57.679631","63.866982","36.133320","1.83109430717959"
"103.165468","58.038173","64.145359","35.854121","1.84264230717959"
"103.809740","58.393885","64.427257","35.571251","1.85442030717959"
"104.456879","58.746743","64.713870","35.285821","1.86643130717959"
"105.106907","59.096714","65.002787","34.997030","1.87867930717959"
"105.759847","59.443768","65.293974","34.705462","1.89116430717959"
"106.415721","59.787886","65.587473","34.411798","1.90388930717959"
"107.074549","60.129051","65.882751","34.116479","1.91685530717959"
"107.736341","60.467251","66.179233","33.819996","1.93006230717959"
"108.401104","60.802480","66.476302","33.522895","1.94351330717959"
"109.068837","61.134738","66.773299","33.225779","1.95720630717959"
"109.739533","61.464031","67.069520","32.929303","1.97114130717959"
"110.413176","61.790373","67.364304","32.634221","1.98531630717959"
"111.089756","62.113791","67.658000","32.341833","1.99973130717959"
"111.769230","62.434309","67.947409","32.051816","2.01438330717959"
"112.451558","62.751965","68.232796","31.765588","2.02926730717959"
"113.136705","63.066813","68.514757","31.484745","2.04438230717959"
"113.824603","63.378903","68.789820","31.209063","2.05972130717959"
"114.515189","63.688306","69.058596","30.940256","2.07528030717959"
"115.208387","63.995098","69.319807","30.679202","2.09105230717959"
"115.904108","64.299366","69.572077","30.426778","2.10702930717959"
"116.602254","64.601207","69.814560","30.184113","2.12320530717959"
"117.302720","64.900731","70.046670","29.952451","2.13957130717959"
"118.005382","65.198054","70.266131","29.732308","2.15611530717959"
"118.710117","65.493308","70.473537","29.525404","2.17282930717959"
"119.416784","65.786631","70.666675","29.332226","2.18970030717959"
"120.125231","66.078169","70.844753","29.153821","2.20671730717959"
"120.835304","66.368082","71.007242","28.991272","2.22386730717959"
"121.546838","66.656537","71.153431","28.845497","2.24113530717959"
"122.259656","66.943706","71.281754","28.716977","2.25850930717959"
"122.973576","67.229773","71.391994","28.606625","2.27597330717959"
"123.688411","67.514923","71.483512","28.515059","2.29351130717959"
"124.403969","67.799351","71.555799","28.442810","2.31110830717959"
"125.120053","68.083254","71.608415","28.390290","2.32874930717959"
"125.836462","68.366832","71.640896","28.357746","2.34641630717959"
"126.552994","68.650286","71.653192","28.345425","2.36409230717959"
"127.269446","68.933820","71.645226","28.353399","2.38176330717959"
"127.985616","69.217636","71.617048","28.381622","2.39941030717959"
"128.701304","69.501935","71.568799","28.429917","2.41701830717959"
"129.416311","69.786915","71.500615","28.497942","2.43457030717959"
"130.130442","70.072769","71.413170","28.585411","2.45205130717959"
"130.843511","70.359687","71.306879","28.691785","2.46944530717959"
"131.555335","70.647851","71.182358","28.816466","2.48673830717959"
"132.265736","70.937438","71.040121","28.958688","2.50391430717959"
"132.974544","71.228615","70.880837","29.117628","2.52096130717959"
"133.681604","71.521542","70.706021","29.292712","2.53786430717959"
"134.386767","71.816371","70.516278","29.482910","2.55461330717959"
"135.089883","72.113239","70.311551","29.686837","2.57119430717959"
"135.790829","72.412281","70.094582","29.904227","2.58759930717959"
"136.489484","72.713618","69.865494","30.133683","2.60381630717959"
"137.185729","73.017357","69.624587","30.373838","2.61983730717959"
"137.879479","73.323602","69.375005","30.624560","2.63565430717959"
"138.570627","73.632437","69.114766","30.883472","2.65125830717959"
"139.259111","73.943948","68.848369","31.151085","2.66664530717959"
"139.944847","74.258197","68.573659","31.424963","2.68180830717959"
"140.627785","74.575248","68.293806","31.705109","2.69674230717959"
"141.307879","74.895152","68.009366","31.990400","2.71144430717959"
"141.985074","75.217943","67.719491","32.279085","2.72591030717959"
"142.659348","75.543657","67.427397","32.571394","2.74013730717959"
"143.330679","75.872318","67.133065","32.866105","2.75412330717959"
"143.999049","76.203942","66.837040","33.162324","2.76786830717959"
"144.664450","76.538535","66.540075","33.459326","2.78137130717959"
"145.326879","76.876099","66.242883","33.756443","2.79463130717959"
"145.986340","77.216630","65.946133","34.053060","2.80764830717959"
"146.642844","77.560116","65.650451","34.348621","2.82042530717959"
"147.296409","77.906542","65.356423","34.642622","2.83296130717959"
"147.947055","78.255888","65.064589","34.934612","2.84525930717959"
"148.594809","78.608130","64.775452","35.224191","2.85732130717959"
"149.239703","78.963240","64.489436","35.510991","2.86914930717959"
"149.881751","79.321175","64.204744","35.793463","2.88074530717959"
"150.521009","79.681911","63.925851","36.073611","2.89211430717959"
"151.157513","80.045408","63.650378","36.349702","2.90325730717959"
"151.791290","80.411618","63.377670","36.620974","2.91417830717959"
"152.422402","80.780509","63.111225","36.889126","2.92488130717959"
"153.050874","81.152025","62.847158","37.151634","2.93536930717959"
"153.676765","81.526129","62.589128","37.410414","2.94564630717959"
"154.300126","81.902776","62.336090","37.664688","2.95571630717959"
"154.920981","82.281904","62.085560","37.912791","2.96558330717959"
"155.539401","82.663477","61.841992","38.157318","2.97525030717959"
"156.155432","83.047445","61.603067","38.396795","2.98472230717959"
"156.769121","83.433758","61.368865","38.631216","2.99400230717959"
"157.380515","83.822364","61.139451","38.860599","3.00309630717959"
"157.989664","84.213213","60.914876","39.084977","3.01200630717959"
"158.596616","84.606257","60.695182","39.304401","3.02073730717959"
"159.201420","85.001447","60.480397","39.518935","3.02929330717959"
"159.804125","85.398733","60.270540","39.728655","3.03767730717959"
"160.404781","85.798070","60.065620","39.933648","3.04589430717959"
"161.003438","86.199410","59.865641","40.134011","3.05394830717959"
"161.600144","86.602708","59.670594","40.329848","3.06184230717959"
"162.194938","87.007914","59.479458","40.520581","3.06958130717959"
"162.787861","87.414978","59.292296","40.706361","3.07716730717959"
"163.378977","87.823868","59.111527","40.888989","3.08460530717959"
"163.968311","88.234528","58.933420","41.066032","3.09189730717959"
"164.555914","88.646921","58.760337","41.239262","3.09904930717959"
"165.141831","89.061005","58.591668","41.408407","3.10606230717959"
"165.726097","89.476735","58.426616","41.573054","3.11294130717959"
"166.308754","89.894072","58.265712","41.733730","3.11968930717959"
"166.889854","90.312986","58.110038","41.891372","3.12630930717959"
"167.469407","90.733416","57.955210","42.042969","3.13280430717959"
"168.047476","91.155344","57.806971","42.192832","3.13917730717959"
"168.532076","91.510768","48.460023","35.542412","3.14445030717959"
"169.109808","91.933040","57.773149","42.227150","3.15079530717959"
"169.689024","92.353829","57.921644","42.078958","3.15726130717959"
"170.269751","92.773090","58.072640","41.926111","3.16385230717959"
"170.852046","93.190799","58.229519","41.770897","3.17057030717959"
"171.435936","93.606908","58.389039","41.610817","3.17741830717959"
"172.021463","94.021375","58.552646","41.446764","3.18440030717959"
"172.608673","94.434166","58.721027","41.279065","3.19151930717959"
"173.197604","94.845234","58.893045","41.106767","3.19877930717959"
"173.788293","95.254533","59.068936","40.929897","3.20618230717959"
"174.380803","95.662032","59.251026","40.749914","3.21373430717959"
"174.975157","96.067671","59.435378","40.563967","3.22143730717959"
"175.571403","96.471409","59.624626","40.373746","3.22929430717959"
"176.169608","96.873212","59.820517","40.180289","3.23731130717959"
"176.769801","97.273021","60.019277","39.980931","3.24548930717959"
"177.372030","97.670790","60.222895","39.776914","3.25383530717959"
"177.976345","98.066472","60.431454","39.568196","3.26235030717959"
"178.582794","98.460019","60.644945","39.354687","3.27104030717959"
"179.191428","98.851382","60.863352","39.136308","3.27990930717959"
"179.802294","99.240512","61.086650","38.912993","3.28895930717959"
"180.415442","99.627359","61.314800","38.684688","3.29819630717959"
"181.030920","100.011872","61.547755","38.451355","3.30762330717959"
"181.648776","100.394003","61.785617","38.213076","3.31724430717959"
"182.269075","100.773711","62.029929","37.970831","3.32706530717959"
"182.891847","101.150937","62.277215","37.722554","3.33708730717959"
"183.517137","101.525630","62.528957","37.469278","3.34731530717959"
"184.145017","101.897758","62.787970","37.212805","3.35775430717959"
"184.775504","102.267258","63.048787","36.950054","3.36840730717959"
"185.408665","102.634098","63.316080","36.684004","3.37927730717959"
"186.044524","102.998224","63.585879","36.412595","3.39036830717959"
"186.683145","103.359608","63.862101","36.138384","3.40168430717959"
"187.324545","103.718198","64.139962","35.859003","3.41322830717959"
"187.968768","104.073963","64.422306","35.576478","3.42500130717959"
"188.615858","104.426875","64.708988","35.291173","3.43700930717959"
"189.265831","104.776896","64.997375","35.002171","3.44925230717959"
"189.918717","105.124003","65.288571","34.710676","3.46173330717959"
"190.574538","105.468174","65.582085","34.417076","3.47445330717959"
"191.233312","105.809392","65.877384","34.121808","3.48741530717959"
"191.895051","106.147646","66.173896","33.825365","3.50061830717959"
"192.559761","106.482929","66.471002","33.528291","3.51406430717959"
"193.227441","106.815240","66.768044","33.231187","3.52775330717959"
"193.898084","107.144588","67.064320","32.934709","3.54168430717959"
"194.571675","107.470983","67.359085","32.639568","3.55585530717959"
"195.248197","107.794452","67.652217","32.346843","3.57026530717959"
"195.927622","108.115023","67.942453","32.057130","3.58491330717959"
"196.609901","108.432731","68.227936","31.770830","3.59979330717959"
"197.294994","108.747627","68.509278","31.489564","3.61490330717959"
"197.982846","109.059768","68.785213","31.214118","3.63023930717959"
"198.673381","109.369217","69.053452","30.944881","3.64579330717959"
"199.366536","109.676057","69.315505","30.683989","3.66156230717959"
"200.062209","109.980368","69.567328","30.431127","3.67753630717959"
"200.760315","110.282254","69.810616","30.188546","3.69370830717959"
"201.460739","110.581818","70.042374","29.956440","3.71007030717959"
