"LeftPosition","RightPosition","LeftVelocity","RightVelocity","Heading"
"0.003731","0.003731","0.746269","0.746269","0"
"0.003731","0.003731","0.000000","0.000000","0"
"0.003731","0.003731","0.000000","0.000000","0"
"0.015433","0.015433","1.170149","1.170149","0"
"0.049015","0.049015","3.358209","3.358209","0"
"0.090060","0.090060","4.104478","4.104478","0"
"0.138567","0.138567","4.850746","4.850746","0"
"0.194537","0.194537","5.597015","5.597015","0"
"0.257970","0.257970","6.343284","6.343284","0"
"0.328866","0.328866","7.089552","7.089552","0"
"0.407224","0.407224","7.835821","7.835821","0"
"0.493045","0.493045","8.582090","8.582090","0"
"0.586328","0.586328","9.328358","9.328358","0"
"0.687075","0.687075","10.074627","10.074627","0"
"0.795284","0.795284","10.820896","10.820896","0"
"0.910955","0.910955","11.567164","11.567164","0"
"1.034090","1.034090","12.313433","12.313433","0"
"1.164687","1.164687","13.059701","13.059701","0"
"1.302746","1.302746","13.805970","13.805970","0"
"1.448269","1.448269","14.552239","14.552239","0"
"1.601254","1.601254","15.298507","15.298507","0"
"1.761701","1.761701","16.044776","16.044776","0"
"1.929612","1.929612","16.791045","16.791045","0"
"2.104985","2.104985","17.537313","17.537313","0"
"2.287821","2.287821","18.283582","18.283582","0"
"2.478119","2.478119","19.029851","19.029851","0"
"2.675881","2.675881","19.776119","19.776119","0"
"2.881104","2.881104","20.522388","20.522388","0"
"3.093791","3.093791","21.268657","21.268657","0"
"3.313940","3.313940","22.014925","22.014925","0"
"3.541552","3.541552","22.761194","22.761194","0"
"3.776627","3.776627","23.507463","23.507463","0"
"4.019164","4.019164","24.253731","24.253731","0"
"4.269164","4.269164","25.000000","25.000000","0"
"4.526627","4.526627","25.746269","25.746269","0"
"4.791552","4.791552","26.492537","26.492537","0"
"5.063940","5.063940","27.238806","27.238806","0"
"5.343791","5.343791","27.985075","27.985075","0"
"5.631104","5.631104","28.731343","28.731343","0"
"5.925881","5.925881","29.477612","29.477612","0"
"6.228119","6.228119","30.223881","30.223881","0"
"6.537821","6.537821","30.970149","30.970149","0"
"6.854985","6.854985","31.716418","31.716418","0"
"7.179612","7.179612","32.462687","32.462687","0"
"7.511701","7.511701","33.208955","33.208955","0"
"7.851254","7.851254","33.955224","33.955224","0"
"8.198269","8.198269","34.701493","34.701493","0"
"8.552746","8.552746","35.447761","35.447761","0"
"8.914687","8.914687","36.194030","36.194030","0"
"9.284090","9.284090","36.940299","36.940299","0"
"9.660955","9.660955","37.686567","37.686567","0"
"10.045284","10.045284","38.432836","38.432836","0"
"10.437075","10.437075","39.179104","39.179104","0"
"10.836328","10.836328","39.925373","39.925373","0"
"11.243045","11.243045","40.671642","40.671642","0"
"11.657224","11.657224","41.417910","41.417910","0"
"12.078866","12.078866","42.164179","42.164179","0"
"12.507970","12.507970","42.910448","42.910448","0"
"12.944537","12.944537","43.656716","43.656716","0"
"13.388567","13.388567","44.402985","44.402985","0"
"13.840060","13.840060","45.149254","45.149254","0"
