"LeftPosition","RightPosition","LeftVelocity","RightVelocity","Heading"
"0.003731","0.003731","0.746269","0.746269","0"
"0.005157","0.005157","0.142583","0.142583","0.000115999999998451"
"0.007534","0.007534","0.237712","0.237712","0.00031099999999995"
"0.010864","0.010864","0.332952","0.332952","0.000581999999999638"
"0.015147","0.015147","0.428347","0.428347","0.000931999999998823"
"0.058729","0.048245","4.358174","3.309799","0.0013603071795858"
"0.113430","0.090544","5.470101","4.229914","0.00186630717958547"
"0.176577","0.139354","6.314672","4.880928","0.00245130717958553"
"0.248142","0.194643","7.156483","5.528913","0.00311530717958597"
"0.328151","0.256422","8.000908","6.177899","0.00385930717958605"
"0.416613","0.324686","8.846240","6.826440","0.0046843071795859"
"0.513524","0.399420","9.691122","7.473364","0.00558930717958628"
"0.618895","0.480617","10.537055","8.119700","0.00657630717958568"
"0.732734","0.568269","11.383911","8.765218","0.00764530717958589"
"0.855050","0.662366","12.231563","9.409687","0.00879630717958602"
"0.985848","0.762895","13.079883","10.052873","0.0100323071795856"
"1.125167","0.869864","13.931814","10.696897","0.0113523071795862"
"1.272987","0.983239","14.782047","11.337539","0.0127583071795856"
"1.429324","1.103010","15.633721","11.977068","0.0142513071795856"
"1.594212","1.229178","16.488797","12.616835","0.0158313071795861"
"1.767644","1.361714","17.343185","13.253556","0.0175003071795858"
"1.949635","1.500602","18.199129","13.888794","0.0192603071795858"
"2.140227","1.645845","19.059213","14.524358","0.0211113071795861"
"2.339414","1.797409","19.918655","15.156435","0.0230543071795859"
"2.547217","1.955279","20.780252","15.786989","0.0250923071795857"
"2.763655","2.119437","21.643883","16.415753","0.0272263071795855"
"2.988750","2.289861","22.509427","17.042455","0.0294583071795858"
"3.222517","2.466530","23.376764","17.666820","0.0317883071795855"
"3.464996","2.649431","24.247900","18.290169","0.0342203071795861"
"3.716199","2.838535","25.120255","18.910356","0.0367553071795861"
"3.976133","3.033804","25.993460","19.526907","0.0393943071795855"
"4.244864","3.235242","26.873095","20.143800","0.0421413071795858"
"4.522380","3.442793","27.751568","20.755119","0.044996307179586"
"4.808724","3.656441","28.634363","21.364752","0.0479643071795861"
"5.103937","3.876164","29.521319","21.972337","0.051045307179586"
"5.408034","4.101920","30.409748","22.575630","0.0542423071795861"
"5.721051","4.333679","31.301694","23.175905","0.0575593071795861"
"6.043022","4.571408","32.197052","23.772823","0.0609983071795854"
"6.373979","4.815068","33.095717","24.366039","0.0645613071795861"
"6.713969","5.064630","33.999010","24.956247","0.068252307179586"
"7.063031","5.320057","34.906235","25.542642","0.0720743071795855"
"7.421183","5.581290","35.815155","26.123296","0.0760293071795859"
"7.788504","5.848315","36.732068","26.702496","0.0801233071795862"
"8.165000","6.121060","37.649623","27.274567","0.0843583071795857"
"8.550740","6.399497","38.573992","27.843667","0.088738307179586"
"8.945772","6.683577","39.503206","28.408016","0.0932663071795856"
"9.350136","6.973244","40.436439","28.966668","0.0979483071795855"
"9.763887","7.268446","41.375059","29.520244","0.102786307179586"
"10.187077","7.569129","42.318983","30.068307","0.107787307179586"
"10.619767","7.875240","43.269067","30.611071","0.112953307179586"
"11.062026","8.186725","44.225868","31.148520","0.118291307179586"
"11.513888","8.503506","45.186233","31.678024","0.123805307179586"
"11.975449","8.825539","46.156076","32.203307","0.129500307179586"
"12.446745","9.152737","47.129598","32.719873","0.135381307179586"
