"LeftPosition","RightPosition","LeftVelocity","RightVelocity","Heading"
"0.003731","0.003731","0.746269","0.746269","0"
"0.005157","0.005157","0.142583","0.142583","6.28306930717959"
"0.007534","0.007534","0.237712","0.237712","6.28287530717959"
"0.010864","0.010864","0.332952","0.332952","6.28260330717959"
"0.015147","0.015147","0.428347","0.428347","6.28225330717959"
"0.048245","0.058729","3.309799","4.358174","6.281826"
"0.090544","0.113430","4.229914","5.470101","6.281319"
"0.139354","0.176577","4.880928","6.314672","6.280734"
"0.194643","0.248142","5.528913","7.156483","6.28007"
"0.256422","0.328151","6.177899","8.000908","6.279326"
"0.324686","0.416613","6.826440","8.846240","6.278501"
"0.399420","0.513524","7.473364","9.691122","6.277596"
"0.480617","0.618895","8.119700","10.537055","6.27661"
"0.568269","0.732734","8.765218","11.383911","6.275541"
"0.662366","0.855050","9.409687","12.231563","6.274389"
"0.762895","0.985848","10.052873","13.079883","6.273153"
"0.869864","1.125167","10.696897","13.931814","6.271833"
"0.983239","1.272987","11.337539","14.782047","6.270427"
"1.103010","1.429324","11.977068","15.633721","6.268935"
"1.229178","1.594212","12.616835","16.488797","6.267354"
"1.361714","1.767644","13.253556","17.343185","6.265685"
"1.500602","1.949635","13.888794","18.199129","6.263926"
"1.645845","2.140227","14.524358","19.059213","6.262075"
"1.797409","2.339414","15.156435","19.918655","6.260131"
"1.955279","2.547217","15.786989","20.780252","6.258093"
"2.119437","2.763655","16.415753","21.643883","6.255959"
"2.289861","2.988750","17.042455","22.509427","6.253728"
"2.466530","3.222517","17.666820","23.376764","6.251397"
"2.649431","3.464996","18.290169","24.247900","6.248965"
"2.838535","3.716199","18.910356","25.120255","6.246431"
"3.033804","3.976133","19.526907","25.993460","6.243791"
"3.235242","4.244864","20.143800","26.873095","6.241045"
"3.442793","4.522380","20.755119","27.751568","6.238189"
"3.656441","4.808724","21.364752","28.634363","6.235222"
"3.876164","5.103937","21.972337","29.521319","6.23214"
"4.101920","5.408034","22.575630","30.409748","6.228943"
"4.333679","5.721051","23.175905","31.301694","6.225626"
"4.571408","6.043022","23.772823","32.197052","6.222188"
"4.815068","6.373979","24.366039","33.095717","6.218625"
"5.064630","6.713969","24.956247","33.999010","6.214934"
"5.320057","7.063031","25.542642","34.906235","6.211112"
"5.581290","7.421183","26.123296","35.815155","6.207156"
"5.848315","7.788504","26.702496","36.732068","6.203062"
"6.121060","8.165000","27.274567","37.649623","6.198827"
"6.399497","8.550740","27.843667","38.573992","6.194448"
"6.683577","8.945772","28.408016","39.503206","6.189919"
"6.973244","9.350136","28.966668","40.436439","6.185238"
"7.268446","9.763887","29.520244","41.375059","6.180399"
"7.569129","10.187077","30.068307","42.318983","6.175399"
"7.875240","10.619767","30.611071","43.269067","6.170232"
"8.186725","11.062026","31.148520","44.225868","6.164894"
"8.503506","11.513888","31.678024","45.186233","6.159381"
"8.825539","11.975449","32.203307","46.156076","6.153686"
"9.152737","12.446745","32.719873","47.129598","6.147804"
"9.485047","12.927865","33.230919","48.112032","6.14173"
"9.822394","13.418881","33.734723","49.101578","6.135458"
"10.164698","13.919858","34.230466","50.097725","6.128982"
"10.511883","14.430875","34.718465","51.101629","6.122295"
"10.863873","14.952019","35.198999","52.114430","6.11539"
"11.220585","15.483375","35.671214","53.135613","6.108262"
"11.581920","16.025009","36.133432","54.163408","6.100903"
"11.947808","16.577043","36.588855","55.203369","6.093305"
"12.318139","17.139539","37.033061","56.249613","6.085462"
"12.692823","17.712603","37.468395","57.306428","6.077364"
"13.071767","18.296342","37.894399","58.373899","6.069005"
"13.454866","18.890853","38.309960","59.451077","6.060376"
"13.842019","19.496244","38.715317","60.539063","6.051469"
"14.230224","20.108040","38.820419","61.179651","6.042342"
"14.616534","20.721718","38.631023","61.367783","6.033062"
"15.000935","21.337314","38.440107","61.559605","6.023625"
"15.383403","21.954848","38.246778","61.753422","6.014031"
"15.763906","22.574325","38.050299","61.947692","6.004277"
"16.142444","23.195798","37.853868","62.147254","5.994361"
"16.518978","23.819247","37.653367","62.344959","5.984283"
"16.893510","24.444723","37.453169","62.547552","5.97404"
"17.266006","25.072208","37.249637","62.748479","5.963632"
"17.636474","25.701747","37.046816","62.953970","5.953058"
"18.004888","26.333325","36.841379","63.157797","5.942317"
"18.371244","26.966957","36.635641","63.363211","5.931407"
"18.735545","27.602660","36.430046","63.570288","5.92033"
"19.097778","28.240421","36.223320","63.776025","5.909084"
"19.457946","28.880240","36.016805","63.981911","5.897669"
"19.816058","29.522122","35.811148","64.188206","5.886087"
"20.172120","30.166059","35.606214","64.393717","5.874337"
"20.526140","30.812034","35.402062","64.597515","5.86242"
"20.878135","31.460033","35.199465","64.799910","5.850338"
"21.228123","32.110038","34.998811","65.000470","5.838092"
"21.576128","32.762025","34.800507","65.198747","5.825685"
"21.922178","33.415968","34.604981","65.394280","5.813118"
"22.266305","34.071834","34.412679","65.586597","5.800394"
"22.608545","34.729586","34.224061","65.775215","5.787516"
"22.948941","35.389183","34.039604","65.959644","5.774487"
"23.287539","36.050577","33.859795","66.139385","5.761311"
"23.624391","36.713716","33.685131","66.313938","5.747993"
"23.959552","37.378544","33.516117","66.482799","5.734538"
"24.293085","38.045000","33.353308","66.645565","5.720949"
"24.625059","38.713021","33.197425","66.802170","5.707232"
"24.955543","39.382531","33.048389","66.950952","5.693395"
"25.284613","40.053451","32.907008","67.092051","5.679441"
"25.612351","40.725701","32.773769","67.225000","5.66538"
"25.938845","41.399200","32.649398","67.349875","5.651216"
"26.264184","42.073854","32.533917","67.465361","5.636958"
"26.588462","42.749565","32.427802","67.571136","5.622614"
"26.911779","43.426238","32.331665","67.667255","5.608191"
"27.234238","44.103772","32.245892","67.753399","5.593698"
"27.555942","44.782057","32.170472","67.828506","5.579144"
"27.877002","45.460986","32.106011","67.892934","5.564536"
"28.197530","46.140450","32.052759","67.946414","5.549886"
"28.517637","46.820333","32.010711","67.988263","5.535201"
"28.837440","47.500520","31.980254","68.018772","5.520491"
"29.157054","48.180897","31.961424","68.037626","5.505766"
"29.476597","48.861344","31.954291","68.044735","5.491035"
"29.796186","49.541745","31.958905","68.040110","5.476308"
"30.115938","50.221983","31.975243","68.023765","5.461594"
"30.435971","50.901942","32.003290","67.995878","5.446903"
"30.756399","51.581503","32.042738","67.956149","5.432245"
"31.077336","52.260556","32.093706","67.905335","5.417628"
"31.398894","52.938991","32.155879","67.843409","5.403061"
"31.721182","53.616691","32.228737","67.770046","5.388554"
"32.044307","54.293557","32.312488","67.686576","5.374116"
"32.368372","54.969485","32.406578","67.592845","5.359754"
"32.693475","55.644370","32.510297","67.488484","5.345477"
"33.019714","56.318121","32.623849","67.375117","5.331293"
"33.347180","56.990648","32.746595","67.252700","5.317208"
"33.675960","57.661863","32.878004","67.121490","5.303231"
"34.006133","58.331677","33.017336","66.981382","5.289368"
"34.337781","59.000019","33.164772","66.834193","5.275626"
"34.670976","59.666816","33.319477","66.679708","5.262009"
"35.005785","60.332000","33.480950","66.518415","5.248524"
"35.342272","60.995508","33.648682","66.350812","5.235176"
"35.680494","61.657282","33.822165","66.177398","5.22197"
"36.020501","62.317265","34.000704","65.998306","5.20891"
"36.362343","62.975414","34.184230","65.814879","5.195999"
