"LeftPosition","RightPosition","LeftVelocity","RightVelocity","Heading"
"0.007165","0.007165","0.716473","0.716473","6.282670"
"0.008080","0.008080","0.045785","0.045785","6.282749"
"0.009913","0.009913","0.091638","0.091638","6.282906"
"0.012666","0.012666","0.137629","0.137629","6.283143"
"0.108272","0.115626","4.780289","5.148013","0.000274"
"0.246956","0.263526","6.934206","7.394977","0.000670"
"0.413360","0.441022","8.320197","8.874842","0.001147"
"0.607478","0.648131","9.705931","10.355409","0.001706"
"0.829299","0.884860","11.091050","11.836467","0.002347"
"1.078803","1.151216","12.475193","13.317800","0.003072"
"1.355976","1.447214","13.858639","14.799884","0.003882"
"1.660810","1.772879","15.241729","16.283260","0.004778"
"1.993285","2.128225","16.623714","17.767315","0.005762"
"2.353374","2.513267","18.004483","19.252118","0.006835"
"2.741061","2.928031","19.384311","20.738156","0.007999"
"3.156317","3.372535","20.762810","22.225218","0.009257"
"3.599122","3.846811","22.140278","23.713827","0.010611"
"4.069453","4.350891","23.516519","25.203989","0.012063"
"4.567271","4.884796","24.890888","26.695239","0.013615"
"5.092542","5.448556","26.263587","28.188023","0.015270"
"5.645240","6.042214","27.634898","29.682886","0.017032"
"6.225328","6.665807","29.004396","31.179625","0.018903"
"6.832761","7.319367","30.371638","32.678029","0.020887"
"7.467491","8.002932","31.736494","34.178231","0.022987"
"8.129495","8.716569","33.100208","35.681864","0.025208"
"8.818706","9.460306","34.460564","37.186845","0.027553"
"9.535077","10.234197","35.818541","38.694549","0.030027"
"10.278557","11.038300","37.173979","40.205143","0.032635"
"11.049084","11.872668","38.526363","41.718427","0.035381"
"11.846595","12.737361","39.875549","43.234620","0.038270"
"12.671043","13.632462","41.222384","44.755042","0.041309"
"13.522338","14.558019","42.564780","46.277851","0.044503"
"14.400413","15.514110","43.903728","47.804567","0.047859"
"15.305193","16.500819","45.239030","49.335453","0.051382"
"16.236595","17.518226","46.570061","50.870335","0.055082"
"17.194518","18.566406","47.896163","52.409027","0.058964"
"18.178898","19.645485","49.219027","53.953954","0.063037"
"19.189606","20.755529","50.535400","55.502162","0.067309"
"20.226549","21.896656","51.847152","57.056348","0.071790"
"21.289620","23.068983","53.153536","58.616388","0.076489"
"22.378695","24.272626","54.453758","60.182146","0.081417"
"23.493635","25.507696","55.746977","61.753477","0.086584"
"24.634335","26.774361","57.035005","63.333231","0.092002"
"25.800625","28.072732","58.314489","64.918591","0.097683"
"26.992362","29.402975","59.586886","66.512132","0.103640"
"28.209387","30.765251","60.851216","68.113789","0.109887"
"29.451515","32.159721","62.106437","69.723489","0.116440"
"30.718590","33.586595","63.353731","71.343729","0.123313"
"32.010388","35.046039","64.589914","72.972174","0.130523"
